"Mass_fraction_of_co2","Mass_fraction_of_h2o","Points:0","Points:1","Points:2","Temperature","Velocity:0","Velocity:1","Velocity:2"
0.0001433,0.0018336,-0.85493,1.8535,0.037634,295.5,0.0018485,0.0022168,0.0040252
0.0001249,0.0017517,-1,1.5634,-0.025257,296.42,0,0,0
0.00018002,0.0017853,-0.22427,2.2393,-0.010665,295.68,-0.0021072,0.008722,-0.0038134
0.00018513,0.001778,-0.23615,2.2941,-0.061089,295.71,-0.0026853,0.009621,-0.0049795
0.0001739,0.0018014,-0.24983,2.1887,0.041993,295.65,-0.0014252,0.0078828,-0.0030846
0.00019259,0.0017648,-0.14671,2.3371,-0.041322,295.74,-0.000703,0.0090654,-0.0057028
0.00019914,0.0017532,-0.096129,2.3727,-0.049796,295.76,0.00069921,0.0091814,-0.006685
0.00019443,0.0017551,-0.092413,2.327,-0.028788,295.72,5.5761e-05,0.0089245,-0.0051626
0.00021169,0.0017314,0.023325,2.4127,-0.027073,295.78,0.0039007,0.0077298,-0.0092667
0.00020465,0.0017503,-0.071615,2.4163,-0.042686,295.79,0.0021071,0.0083629,-0.0084728
0.00022253,0.0017115,0.10421,2.4259,-0.046278,295.78,0.00648,0.0088579,-0.011413
0.00022219,0.0017053,0.14688,2.404,-0.016303,295.75,0.0070954,0.0077445,-0.0095315
0.00017126,0.0018128,-0.32874,2.1785,0.019369,295.65,-0.0024008,0.0084743,-0.0036951
0.00016447,0.0018403,-0.44036,2.1259,0.047347,295.63,-0.0021328,0.0080805,-0.003543
0.0001681,0.0018272,-0.39452,2.1593,0.024667,295.64,-0.0025614,0.0083992,-0.003904
0.00016325,0.0018458,-0.49239,2.12,0.034762,295.63,-0.0024158,0.0080824,-0.0037453
0.00015418,0.0018358,-0.78721,2.004,-0.046735,295.58,0.0001842,0.0038302,-0.0023303
0.00015076,0.00183,-0.85821,1.9541,-0.044677,295.56,0.0011501,0.0010798,-0.00023676
0.0001477,0.0018193,-0.88866,1.9043,-0.04868,295.54,0.00132,0.00037462,0.0013225
0.00014996,0.0018485,-0.82296,1.9539,0.011894,295.56,0.0013267,0.001721,0.00061389
0.00015307,0.0018629,-0.73454,2.004,0.037397,295.58,0.00046533,0.0042157,-0.00098362
0.0001652,0.0018359,-0.57851,2.1485,-0.046452,295.65,-0.0037179,0.0083844,-0.0057208
0.00015671,0.0018546,-0.76962,2.0525,-0.018653,295.61,-0.00024344,0.0036181,-0.0033281
0.00015983,0.0018605,-0.70395,2.0982,-0.0080588,295.63,-0.0013858,0.0053326,-0.0045358
0.0001634,0.0018502,-0.61659,2.1366,-0.019754,295.65,-0.0029029,0.0074121,-0.00542
0.00016831,0.0018407,-0.49889,2.1865,-0.0077647,295.67,-0.0035593,0.0083266,-0.0055763
0.00016529,0.0018516,-0.53588,2.157,0.012478,295.66,-0.0030317,0.007828,-0.0050889
0.00013403,0.0017893,-1,1.706,0.0057923,296.55,0,0,0
0.00013763,0.0017946,-1,1.7549,-0.022027,296.59,0,0,0
0.00013052,0.0017829,-1,1.6572,0.033355,296.49,0,0,0
0.00014194,0.0018099,-0.95268,1.8208,-0.020819,295.53,0.00089414,-0.0013494,0.0046349
0.00014686,0.0018379,-0.84912,1.904,0.013226,295.53,0.0016073,0.0014987,0.0021798
0.00018739,0.0017764,-0.19211,2.3073,-0.030087,295.72,-0.0015368,0.0088725,-0.0052041
0.00017992,0.0018088,-0.32271,2.2873,-0.016106,295.72,-0.0029954,0.008562,-0.0058596
0.00018451,0.0017912,-0.29249,2.3175,-0.059662,295.74,-0.0031686,0.0092966,-0.0059797
0.00018463,0.0017759,-0.17438,2.2711,-0.0079924,295.69,-0.0013071,0.0085161,-0.0040809
0.00017813,0.001804,-0.25955,2.2454,0.027688,295.69,-0.0018058,0.0078116,-0.0044973
0.00023216,0.0017001,0.16538,2.4445,-0.038053,295.78,0.0090178,0.0073281,-0.014487
