Mass_fraction_of_co2,Mass_fraction_of_h2o,Points:0,Points:1,Points:2,Temperature,Velocity:0,Velocity:1,Velocity:2
0.00032323,0.0016042,0.53151,2.6707,-0.95686,295.96,0.15907,-0.036292,-0.016613
0.0003442,0.0016093,0.65464,2.6586,-1,296,0,0,0
0.00033149,0.0016091,0.53131,2.7006,-0.91145,295.98,0.1578,-0.023403,-0.029878
0.00034689,0.0016148,0.55632,2.687,-0.82086,295.98,0.1417,-0.024165,-0.059874
0.00035131,0.0016114,0.63994,2.6675,-0.92375,295.97,0.16241,-0.046477,-0.040434
0.00036416,0.0016158,0.64563,2.6664,-0.82877,295.97,0.14128,-0.039137,-0.07823
0.00033464,0.001609,0.59989,2.6962,-1,296,0,0,0
0.00034857,0.0016134,0.59874,2.703,-0.89958,295.98,0.1583,-0.027992,-0.043009
0.00034695,0.0016135,0.57562,2.694,-0.86272,295.98,0.15057,-0.026565,-0.051614
0.00033604,0.0016107,0.56689,2.7183,-0.94496,295.99,0.16214,-0.02419,-0.021571
0.00036022,0.0016217,0.56851,2.6915,-0.74764,295.98,0.12633,-0.020086,-0.077434
0.00034146,0.0016145,0.54258,2.744,-0.8852,296,0.15647,-0.01065,-0.03851
0.00036095,0.0016162,0.64215,2.7058,-0.8816,295.99,0.15663,-0.028192,-0.058353
0.00035649,0.0016163,0.59998,2.6901,-0.82882,295.98,0.14384,-0.027871,-0.066995
0.00035784,0.0016202,0.56994,2.7145,-0.78864,295.99,0.13585,-0.017028,-0.069493
0.00034926,0.0016132,0.6582,2.7116,-1,296,0,0,0
0.00035056,0.001614,0.62957,2.7213,-0.94493,295.99,0.16602,-0.02667,-0.029479
0.00035301,0.0016178,0.57133,2.734,-0.84089,296,0.14826,-0.01334,-0.056446
0.00036906,0.0016213,0.62004,2.7032,-0.78305,295.99,0.1322,-0.023505,-0.08236
0.00036034,0.0016257,0.53942,2.7187,-0.72259,296,0.12311,-0.011306,-0.07413
0.00033105,0.001611,0.56652,2.7547,-1,296,0,0,0
0.00036318,0.001619,0.62034,2.7309,-0.84834,296,0.14953,-0.016744,-0.065134
