Points:0,Points:1,Points:2, Co2.Mass Fraction,
-9.22E-01,5.04E+00,-9.93E-01,3.37E-05,
-9.58E-01,4.61E+00,-9.58E-01,5.92E-05,
-9.75E-01,5.06E+00,-9.40E-01,4.92E-05,
-9.93E-01,5.04E+00,-9.22E-01,5.17E-05,
-9.75E-01,4.73E+00,-9.40E-01,4.86E-05,
-9.93E-01,4.74E+00,-9.22E-01,5.04E-05,
-9.40E-01,4.73E+00,-9.75E-01,4.43E-05,
-9.22E-01,4.74E+00,-9.93E-01,4.17E-05,
-9.40E-01,5.03E+00,-9.75E-01,3.54E-05,
-9.22E-01,5.01E+00,-9.93E-01,3.14E-05,
-9.75E-01,5.03E+00,-9.40E-01,4.84E-05,
-9.93E-01,5.01E+00,-9.22E-01,5.14E-05,
-9.75E-01,4.76E+00,-9.40E-01,4.70E-05,
-9.93E-01,4.77E+00,-9.22E-01,4.99E-05,
-9.40E-01,4.76E+00,-9.75E-01,3.89E-05,
-9.22E-01,4.77E+00,-9.93E-01,3.50E-05,
-9.40E-01,5.00E+00,-9.75E-01,3.32E-05,
-9.22E-01,4.98E+00,-9.93E-01,2.86E-05,
-9.75E-01,5.00E+00,-9.40E-01,4.72E-05,
-9.93E-01,4.98E+00,-9.22E-01,5.10E-05,
-9.75E-01,4.79E+00,-9.40E-01,4.58E-05,
-9.93E-01,4.80E+00,-9.22E-01,4.95E-05,
-9.40E-01,4.79E+00,-9.75E-01,3.41E-05,
-9.22E-01,4.80E+00,-9.93E-01,2.92E-05,
-9.40E-01,4.97E+00,-9.75E-01,3.07E-05,
-9.22E-01,4.95E+00,-9.93E-01,2.59E-05,
-9.75E-01,4.82E+00,-9.40E-01,4.49E-05,
-9.93E-01,4.83E+00,-9.22E-01,4.91E-05,
-9.40E-01,4.82E+00,-9.75E-01,3.08E-05,
-9.22E-01,4.83E+00,-9.93E-01,2.53E-05,
-9.75E-01,4.97E+00,-9.40E-01,4.61E-05,
-9.93E-01,4.95E+00,-9.22E-01,5.05E-05,
-9.40E-01,4.94E+00,-9.75E-01,2.89E-05,
-9.22E-01,4.92E+00,-9.93E-01,2.39E-05,
-9.75E-01,4.94E+00,-9.40E-01,4.53E-05,
-9.93E-01,4.92E+00,-9.22E-01,5.00E-05,
-9.75E-01,4.85E+00,-9.40E-01,4.43E-05,
-9.93E-01,4.86E+00,-9.22E-01,4.90E-05,
-9.40E-01,4.85E+00,-9.75E-01,2.88E-05,
-9.22E-01,4.86E+00,-9.93E-01,2.35E-05,
-9.40E-01,4.88E+00,-9.75E-01,2.77E-05,
-9.22E-01,4.89E+00,-9.93E-01,2.30E-05,
-9.75E-01,4.88E+00,-9.40E-01,4.42E-05,
-9.93E-01,4.89E+00,-9.22E-01,4.94E-05,
-9.40E-01,4.91E+00,-9.75E-01,2.77E-05,
-9.75E-01,4.91E+00,-9.40E-01,4.47E-05,
-9.58E-01,4.63E+00,-9.58E-01,5.77E-05,
-9.58E-01,4.66E+00,-9.58E-01,5.45E-05,
-9.58E-01,4.69E+00,-9.58E-01,5.07E-05,
-9.58E-01,4.72E+00,-9.58E-01,4.71E-05,
-9.58E-01,4.74E+00,-9.58E-01,4.35E-05,
-9.58E-01,4.77E+00,-9.58E-01,4.06E-05,
-9.58E-01,4.80E+00,-9.58E-01,3.82E-05,
-9.58E-01,4.83E+00,-9.58E-01,3.68E-05,
-9.58E-01,4.86E+00,-9.58E-01,3.59E-05,
-9.58E-01,5.13E+00,-9.58E-01,4.49E-05,
-9.58E-01,5.10E+00,-9.58E-01,4.41E-05,
-9.58E-01,5.07E+00,-9.58E-01,4.35E-05,
-9.58E-01,5.04E+00,-9.58E-01,4.25E-05,
-9.58E-01,5.01E+00,-9.58E-01,4.07E-05,
-9.58E-01,4.98E+00,-9.58E-01,3.88E-05,
-9.58E-01,4.95E+00,-9.58E-01,3.74E-05,
-9.58E-01,4.92E+00,-9.58E-01,3.62E-05,
-9.58E-01,4.89E+00,-9.58E-01,3.56E-05,
-9.00E-01,8.88E+00,4.50E-01,3.11E-05,
-9.00E-01,8.90E+00,4.28E-01,2.91E-05,
-9.00E-01,8.88E+00,4.17E-01,2.76E-05,
-9.00E-01,8.91E+00,4.50E-01,3.03E-05,
-9.00E-01,8.91E+00,3.50E-01,1.34E-05,
-9.00E-01,8.88E+00,3.50E-01,1.61E-05,
-9.00E-01,8.90E+00,3.72E-01,1.75E-05,
-9.00E-01,8.88E+00,3.83E-01,2.16E-05,
-9.00E-01,9.45E+00,4.50E-01,9.43E-06,
-9.00E-01,9.48E+00,4.50E-01,9.59E-06,
-9.00E-01,9.46E+00,4.25E-01,9.47E-06,
-9.00E-01,9.48E+00,4.17E-01,9.68E-06,
-9.00E-01,9.46E+00,3.75E-01,9.67E-06,
-9.00E-01,9.48E+00,3.50E-01,9.89E-06,
-9.00E-01,9.45E+00,3.50E-01,9.80E-06,
-9.00E-01,9.48E+00,3.83E-01,9.80E-06,
-9.00E-01,8.93E+00,4.25E-01,2.76E-05,
-9.00E-01,8.94E+00,4.50E-01,2.86E-05,
-9.00E-01,9.44E+00,3.75E-01,9.58E-06,
-9.00E-01,9.42E+00,3.50E-01,9.76E-06,
-9.00E-01,9.44E+00,4.25E-01,9.44E-06,
-9.00E-01,9.42E+00,4.50E-01,9.74E-06,
-9.00E-01,8.93E+00,3.75E-01,1.57E-05,
-9.00E-01,8.94E+00,3.50E-01,1.21E-05,
-9.00E-01,8.96E+00,4.25E-01,2.52E-05,
-9.00E-01,8.97E+00,4.50E-01,2.61E-05,
-9.00E-01,9.41E+00,3.75E-01,9.57E-06,
-9.00E-01,9.39E+00,3.50E-01,9.74E-06,
-9.00E-01,9.41E+00,4.25E-01,9.84E-06,
